2212 A, A
37730 DEVEIKIS, A
48472 DEVENEY, E
26338 DEVENISH, RCE
22726 DEVEREAUX, T
3641 DEVEREAUX, TP
14126 DEVEREUX, N
46520 DEVETAK, I
24260 DEVIATOV, EV
26206 DEVIDZE, GG
50996 DEVILLARD, P
36491 DEVILLE, R
34279 DEVILLERS, O
20700 DEVINE, D
11088 DEVINE, NK
41772 DEVIS, J
39088 DEVITO, B
47925 DEVI, YD
29461 DEVLEN, A
13212 DEVLIN, M
2451 DEVLIN, MJ
19378 DEVOLDER, T
29959 DEVORE, CR
23224 DEVORET, MH
39225 DEVOST, D
35311 DEVOTO, A
14227 DEVREESE, JT
39131 DEVRIENDT, J
29100 DEVRIENDT, JEG
39910 DEWANGAN, GC
30318 DEWARF, LE
48732 DEWAR, RL
11776 DEWDNEY, C
31016 DEWDNEY, PE
19122 DEWEERD, AJ
32806 DEWEL, G
12208 DEWEY, SRA
38388 DEWING, M
10552 DEWITT, B
34315 DEWITT, D
4802 DEWITZ, JP
26733 DEWOLFE, O
16111 DEWOLF, R
27181 DEWULF, Y
2475 DEY, A
10405 DEY, B
23692 DEYCH, LI
16965 DEY, J
16964 DEY, M
29124 DEY, P
26364 DEY, S
45181 DEY, T
20586 DEZALAY, JP
47177 DEZA, M
44106 DEZANETI, LM
23976 DEZA, R
43719 DEZA, RR
29404 DEZEEUW, PT
520 DEZOTTI, G
44916 DEZSO, Z
29946 D, F
28988 DGANI, R
701 D, GF
29910 D, GM
15700 DHALENNE, G
14971 DHALENNE, GMG
32186 DHALLE, M
18218 DHANAWITTAYAPOL, R
9489 DHAR, A
27440 DHARA, AK
43584 DHARAMVIR, K
3611 DHAR, D
23316 DHARMAWARDANA, MWC
32225 DHAR, SK
39997 DHAR, VK
22147 DHAWAN, V
19573 DHELON, C
41705 DHENDECOURT, L
36805 DHERSIN, J
51993 DHILLON, A
43288 DHILLON, HS
1406 DHILLON, VS
43734 DHO, J
9307 DHOKER, E
51029 DHONT, JKG
48104 DHUGA, KS
42511 DHULST, R
51413 DHURANDHAR, S
5519 DHURANDHAR, SV
18373 DIACONESCU, D
8813 DIACONU, C
12192 DIAFERIO, A
5778 DIAKONOS, FK
24444 DIAKONOV, AM
6717 DIAKONOV, D
8538 DIAKONOV, DI
9931 DIAMANDIS, GA
15364 DIAMANT, H
9140 DIAMANTINI, MC
21476 DIAMOND, P
4581 DIAMOND, PH
12478 DIAMOND, PJ
48048 DIAMOND, RM
44346 DIAS, FC
18308 DIAS, GS
48042 DIAS, H
49378 DIAS, NC
4107 DIAS, RG
17926 DIAS, SA
50160 DIAS, WS
39348 DIAZ, A
872 DIAZ, AI
35000 DIAZALONSO, J
17226 DIAZCRUZ, JL
40938 DIAZ, FJ
4528 DIAZGUILERA, A
24417 DIAZHERRERA, E
49279 DIAZ, JI
51620 DIAZ, M
6335 DIAZ, MA
50686 DIAZORTIZ, A
26257 DIAZ, R
34601 DIAZRIVERA, LM
41889 DIAZSANCHEZ, A
47258 DIAZ, SP
48125 DIAZTORRES, A
49102 DIAZVALDES, J
50847 DIAZVELEZ, JC
25720 DIB, C
44677 DIB, R
32886 DICARLO, A
25471 DICECIO, G
39054 DICKEL, J
39763 DICKEL, JR
28627 DICKENS, RJ
36616 DICKENSTEIN, A
39772 DICKER, S
43656 DICKERSON, J
40305 DICKER, SR
13043 DICKEY, J
20383 DICKEY, JM
9182 DICKEY, LA
31407 DICKEY, RP
11194 DICKHOFF, WH
2087 DICKINSON, ISM
29170 DICKINSON, JE
804 DICKINSON, M
13194 DICKINSON, ME
28780 DICKINSON, MR
42689 DICKINSON, PH
45778 DICK, K
17442 DICK, L
33765 DICKMAN, AG
43200 DICKMANN, S
3456 DICKMAN, R
29534 DICKOW, R
10023 DICK, R
28540 DICKSON, ES
28281 DICKSON, M
29970 DICKSON, R
38922 DICOCCO, G
35572 DICUS, D
7187 DICUS, DA
39731 DI, D
47981 DIDELEZ, JP
48420 DIDENKO, NV
27530 DIDIERJEAN, F
23484 DIDONNA, BA
33669 DIDUKH, L
42101 DIDYK, AY
30436 DIEBALL, A
37410 DIECI, L
49831 DIECKMANN, ME
50444 DIEDRICH, G
39117 DIEGO, JM
10374 DIEGO, O
14828 DIEHL, A
6945 DIEHL, E
4579 DIEHL, HW
14631 DIEHL, M
12527 DIEHL, R
27051 DIEJEN, JFV
49396 DIEKS, D
24201 DIELEMAN, P
45369 DIEMER, T
19279 DIENER, A
41902 DIENER, G
26150 DIENER, KPO
45372 DIENER, P
9373 DIENES, KR
50769 DIENY, B
36912 DIEP, DN
47966 DIEPERINK, A
27225 DIEPERINK, AEL
50383 DIEP, HT
21818 DIERCKS, A
16934 DIERENDONCK, DV
31530 DIETEL, J
44431 DIETERICH, W
22166 DIETERS, S
30467 DIETERS, SW
24970 DIETL, T
15947 DIETRICH, H
18931 DIETRICH, K
2440 DIETRICH, M
31758 DIETRICH, R
15556 DIETRICH, S
32027 DIETSCHE, W
5040 DIETTERICH, TG
27532 DIETZ, K
27598 DIETZSCH, O
2759 DIEZ, E
31319 DIEZEMANN, G
27970 DIEZMUINO, R
12969 DIFRANCESCO, J
42183 DIFRANCESCO, RG
8421 DIGAL, S
41509 DIGEL, S
14150 DIGEL, SW
43799 DIGGS, B
35050 DIGHE, A
8431 DIGHE, AS
21278 DIGREGORIO, DE
17998 DIJKGRAAF, R
11028 DIJKHUIZEN, MS
12622 DIJK, RV
51698 DIJKSTRA, H
42035 DIJKSTRA, M
49659 DIJKSTRA, R
19550 DIJK, WV
7770 DIKEMAN, RD
26532 DILAO, R
25521 DILAVER, M
16640 DILGER, H
5473 DILKES, FA
47630 DILLENCOURT, MB
31408 DILLEY, NR
7538 DILLIG, M
17399 DILODOVICO, F
18699 DILWORTH, SJ
10183 DIMAKIS, A
49384 DIMA, M
24710 DIMASHKO, Y
44740 DIMASHKO, YA
47189 DIMCA, A
22003 DIMEO, T
29409 DIMITRIJEVIC, MS
34549 DIMITROPOULOS, A
11397 DIMITROVA, SS
46598 DIMITROV, B
45433 DIMITROV, BG
32180 DIMITROV, DA
36971 DIMITROV, I
28161 DIMITROV, VI
6047 DIMM, W
1451 DIMOPOULOS, K
17110 DIMOPOULOS, P
6691 DIMOPOULOS, S
38060 DIMOVA, TV
7110 DINE, M
13722 DINERSTEIN, H
41064 DINESCU, DI
45044 DINESH, TB
23289 DINEYKHAN, M
48059 DING, B
33881 DINGER, A
11097 DINGFELDER, M
3938 DING, H
48067 DING, HM
36163 DING, J
38176 DING, L
21958 DING, LK
5236 DING, S
20826 DINGUS, B
40168 DINGUS, BL
45026 DING, W
36143 DING, X
26744 DING, XM
8196 DING, Y
6965 DING, YB
48166 DINH, M
36555 DINH, T
19011 DINIUS, JD
10784 DINNEEN, MJ
48677 DINNEEN, TP
32064 DINNER, AR
28320 DINSHAW, N
24413 DINSMORE, AD
51421 DINVERNO, RA
52398 DIODATI, P
41376 DIOLAITI, E
17641 DION, B
43505 DIONIGI, C
52082 DIONISI, C
42984 DION, M
24148 DIORIO, M
3379 DIOSI, L
47677 DIOUBINA, A
36413 DIPIPPO, SA
4881 DIPPEL, S
28781 DIPPER, NA
37006 DIPPER, R
27154 DI, RD
16742 DIRENZO, F
17025 DIRKS, M
29520 DIRSCH, B
31294 DIRSCHERL, G
51547 DISCHLER, J
43543 DISCHNER, M
35717 DISERTORI, M
2336 DISHOECK, EFV
32376 DIS, JHVL
12958 DISNEY, MJ
16752 DISSERTORI, G
1382 DISTEFANO, R
9045 DISTLER, J
46662 DITA, P
48186 DITLEVSEN, PD
17909 DITO, G
17055 DITSAS, P
14716 DITTES, F
35637 DITTES, FM
6438 DITTMAIER, S
38572 DITTMANN, J
17464 DITTMAR, M
52428 DITTO, WL
23722 DITTRICH, J
33722 DITTRICH, T
18430 DITTRICH, W
22606 DITUSA, JF
45681 DIVAKARAN, PP
49125 DIVINCENZO, D
11698 DIVINCENZO, DP
48052 DIVISION, DWNS
50457 DIVIS, M
5864 DIVITIIS, GMD
13437 DIWAN, MV
45224 DIX, J
45162 DIXON, C
39206 DIXON, D
22621 DIXON, DC
20024 DIXON, DD
8903 DIXON, G
7063 DIXON, L
30538 DIXON, WV
12136 DIXON, WVD
22177 DIXSON, JS
44395 DIZHUR, EM
48863 DJABOUROV, M
24858 DJAJAPUTRA, D
52461 DJALALI, C
20587 DJANNATIATAI, A
19028 DJERROUD, B
28690 DJILKIBAEV, ZAM
51640 DJOBAVA, T
31311 DJORDJEVIC, S
239 DJORGOVSKI, ACESG
40913 DJORGOVSKI, G
20908 DJORGOVSKI, S
1315 DJORGOVSKI, SG
7383 DJOUADI, A
33461 DJURBERG, C
39215 D, K
51419 D, KSTRSTPR
30125 D, L
20677 D, M
40741 DMELLOW, K
7588 DMITRASINOVIC, V
48169 DMITRAVSINOVIC, V
31329 DMITRENKO, IM
28176 DMITRIEVA, LA
23129 DMITRIEV, AP
47002 DMITRIEVA, VV
44588 DMITRIEV, DV
27457 DMITRIEV, V
11518 DMITRIEV, VF
15093 DMITRIEV, VV
48372 DMITRIYEV, VP
44748 DMITRUK, IM
20436 DMITRUK, P
44559 DMOWSKI, W
1082 D, NI
43617 DOAK, RB
11130 DOBACZEWSKI, J
6738 DOBADO, A
13754 DOBBIE, PD
51732 DOBBS, M
41407 DOBCSANYI, P
16024 DOBEREINER, HG
39260 DOBEREINER, S
27285 DOBES, J
22858 DOBIN, AY
45182 DOBKIN, DP
47932 DOBLER, H
50045 DOBLER, W
43471 DOBREK, L
8020 DOBRESCU, B
6986 DOBRESCU, BA
25391 DOBRESCU, I
50804 DOBREVA, SG
36081 DOBREV, VK
47980 DOBROKHOTOV, D
43564 DOBROSAVLJEVICGRUJIC, L
15502 DOBROSAVLJEVIC, V
32612 DOBROVITSKI, VV
48967 DOBROVOLSKA, IV
8389 DOBROVOLSKAYA, A
48211 DOBROVOLSKI, NM
40374 DOBROVOLSKY, SI
3597 DOBRY, A
28381 DOBRZYCKA, D
21605 DOBRZYCKI, A
48231 DOBRZYNSKI, L
26923 DOBSON, E
51427 DOBYNS, Y
50744 DOBYSHEVA, LV
27458 DODANG, G
51641 DODD, J
32895 DODD, ME
674 DODD, RJ
32981 DODDS, PS
12303 DODDS, SJ
1038 DODELSON, S
23456 DODERER, T
44560 DODGE, JS
4982 DODGSON, MJW
49969 DODONOV, SN
6939 DODONOV, VV
224 DODORICO, S
1203 DODORICO, V
30098 DODSON, R
40677 DODSWORTH, G
15521 DOEBEREINER, HG
13317 DOEBEREINER, S
49196 DOEBNER, H
11665 DOEBNER, HD
40745 DOELEMAN, S
31566 DOELL, R
47896 DOENAU, F
18114 DOERFEL, BD
12038 DOERRER, T
17850 DOERRZAPF, M
42981 DOERY, M
38063 DOERY, MR
42335 DOETSCH, U
32108 DOETTINGER, SG
35606 DOFF, A
14881 DOGAN, F
15828 DOGAN, TBLF
48443 DOGEN, D
51027 DOGIC, Z
40514 DOGIEL, V
38811 DOHERTY, AC
14913 DOH, H
29917 DOHLEN, K
42123 DOHLER, GH
4679 DOHMEN, A
43702 DOHMEN, MAH
24681 DOHMI, D
29471 DOHMPALMER, RC
23004 DOHM, V
27301 DOHRMANN, F
43374 DOH, Y
32888 DOH, YJ
26583 DOIKOU, A
20470 DOI, M
48073 DOI, T
2043 DOI, Y
33983 DOKHOLYAN, NV
1603 DOKKUM, PGV
12298 DOKKUM, PV
7392 DOKSHITZER, YL
46947 DOKUCHAEV, M
41626 DOKUCHAEV, V
28801 DOKUCHAEV, VI
41022 DOLABDJIAN, C
43348 DOLADO, JS
20357 DOLAG, K
10574 DOLAN, BP
42972 DOLAN, GJ
36245 DOLAN, J
22595 DOLAN, JF
9530 DOLAN, L
47573 DOLBEAULT, J
47965 DOLCI, D
48110 DOLCI, DS
44878 DOLCINI, F
30282 DOLE, H
51477 DOLEZEL, T
22191 DOLEZ, N
33696 DOLEZ, P
37449 DOLGACHEV, I
4220 DOLGERT, AJ
3771 DOLG, M
24258 DOLGOPOLOV, VT
7396 DOLGOV, A
1251 DOLGOV, AD
52746 DOLGOVA, TV
9712 DOLGOV, D
4378 DOLGOV, OV
46649 DOLGUSHEV, VA
6503 DOLIVO, JC
42029 DOLIWA, B
29298 DOLK, L
27632 DOLL, JD
3770 DOLL, K
52727 DOLNIK, M
26603 DOLOTIN, VV
39696 DOLPHIN, AE
22826 DOMANSKI, T
3650 DOMANY, E
7037 DOMBEY, N
3044 DOMBRE, T
35516 DOMENECH, JL
13261 DOMGORGEN, H
29244 DOMINGO, A
34258 DOMINGO, C
40122 DOMINGUE, DL
45179 DOMINGUE, J
16355 DOMINGUEZ, A
2761 DOMINGUEZADAME, F
16449 DOMINGUEZ, AE
6921 DOMINGUEZ, CA
15388 DOMINGUEZCASCANTE, R
14610 DOMINGUEZ, D
23259 DOMINGUEZ, DRC
20228 DOMINGUEZ, I
41049 DOMINGUEZ, R
13641 DOMINGUEZTENREIRO, R
6725 DOMINICI, D
2711 DOMINICIS, CD
39593 DOMINICI, TP
40930 DOMINIK, C
19677 DOMINIK, M
29443 DOMINIS, D
43112 DOMMERSNES, PG
34218 DOMMETY, G
28691 DOMOGATSKY, GV
16999 DOMOKOS, G
52366 DOMOSHNITSKY, AI
52468 DONADILLE, L
40349 DONAGHY, TQ
10427 DONAGI, R
35667 DONAGI, RY
20766 DONAHUE, M
52596 DONALD, CJS
28072 DONALD, MJ
43153 DONANGELO, R
51567 DONA, R
20897 DONAS, J
23605 DONATI, C
29310 DONATI, JF
51155 DONATINI, F
48137 DONATI, P
26534 DONATIS, P
17811 DONATO, F
43367 DONATON, RA
37749 DONAU, F
17790 DONCHESKI, M
7758 DONCHESKI, MA
40902 DONEA, AC
2161 DONE, C
9413 DONETS, EE
42619 DONETTI, L
33454 DONEV, A
38345 DONEV, S
38673 DONEV, SG
34130 DONGARRA, JJ
36441 DONG, C
32722 DONGEN, PGJV
14749 DONGEN, PV
26285 DONG, H
28150 DONG, HF
49842 DONGHIA, E
44334 DONG, J
42003 DONGPEI, Z
16731 DONG, S
6868 DONG, SJ
32865 DONG, Z
4918 DONIACH, S
5980 DONINI, A
36477 DONIN, J
50332 DONKOV, AA
16905 DONNACHIE, A
37329 DONNELLY, P
22534 DONNELLY, RH
37752 DONNELLY, T
11043 DONNELLY, TW
22922 DONNERBERG, H
20143 DONOFRIO, M
46035 DONOGHUE, J
5755 DONOGHUE, JF
5047 DONOHO, SK
36681 DONSIG, AP
37090 DONTCHEV, J
50090 DONZELLI, CJ
23361 DOOGLAV, AV
31378 DOOLEN, GD
26201 DOOLING, D
12243 DOPITA, M
21527 DOPITA, MA
26567 DOPLICHER, S
50159 DOPPMANN, G
43050 DORA, B
49137 DORAI, K
21096 DORAN, C
37500 DORAN, CF
21138 DORAN, CJL
8402 DORATA, G
50492 DORBOLO, S
16287 DORCA, M
42993 DORDEVIC, SV
43386 DOREN, VV
15453 DORE, P
6225 DOREY, N
9027 DOREY, P
40169 DORFAN, DE
50627 DORFMAN, JR
22803 DORIA, MM
27423 DORKIN, BKSM
19107 DORKIN, SM
18905 DORKIN, VVBMBSM
2253 DORMAN, B
1311 DORMAN, LMLV
26126 DORNAN, P
32119 DORNEICH, A
23479 DORNER, B
8916 DORN, H
24949 DORNIC, I
22558 DORODNITSYN, AV
31658 DOROFEEV, EA
46542 DOROFEYEV, OF
24783 DOROGOVTSEV, SN
17865 DOROKHOV, AE
29411 DOROKHOVA, TN
29294 DOROKHOV, NI
3576 DORON, E
28692 DOROSHENKO, AA
28443 DOROSHENKO, O
1137 DOROSHKEVICH, A
1231 DOROSHKEVICH, AG
1277 DOROSHKEVICH, OBA
30694 DORRINGTON, MC
39792 DORSCHNER, JM
2784 DORSEY, AT
15506 DORSEY, P
25840 DORSNER, I
37819 DORSO, CO
37518 DORTMANS, PJ
23000 DORTMUND, U
17404 DORUSNER, I
39780 DORWART, WB
33572 DOSANJH, P
7207 DOSCH, HG
47653 DOSEN, K
38280 DOSE, V
40293 DOSS, DR
27175 DOSSING, T
37209 DOSTOGLOU, S
12923 DOTANI, T
27297 DOTE, A
3590 DOTSENKO, A
14182 DOTSENKO, AV
2969 DOTSENKO, V
50900 DOTSENKO, VI
9630 DOTSENKO, VS
26621 DOTTI, G
13858 DOTTORI, H
21143 DOTY, SD
44667 DOUBBLE, R
33280 DOUBLET, M
29657 DOUBLIER, V
30077 DOUCHIN, F
4339 DOUCOT, B
26707 DOU, D
45611 DOUGALL, A
33211 DOUGHERTY, A
22570 DOUGHERTY, B
10797 DOUGHERTY, R
49698 DOUGHERTY, S
30005 DOUGHERTY, SM
45610 DOUGLAS, G
23732 DOUGLAS, JF
26480 DOUGLAS, M
3009 DOUGLAS, MR
28950 DOUGLAS, NG
13231 DOUGLASS, GG
16618 DOUI, M
39291 DOUR, ABML
40523 DOUR, JGBML
30617 DOUR, MDML
29129 DOUR, ML
29130 DOUSPIS, M
2744 DOUSSAL, PL
32173 DOUSSINEAU, P
41192 DOUVION, T
26354 DOVA, M
5745 DOVA, MT
25117 DOVCIAK, M
19504 DOVE, C
13740 DOVE, J
20467 DOVE, JB
18885 DOVER, CB
43255 DOVHOPYATY, Y
36617 DOW, A
30350 DOWELL, CD
10138 DOWKER, F
10667 DOWKER, HF
9115 DOWKER, JS
51910 DOWKER, S
12326 DOWLING, DM
49134 DOWLING, JP
38050 DOWNER, MC
1819 DOWNES, D
13238 DOWNES, RA
22012 DOWNES, TP
15627 DOWSETT, MG
24197 DOYE, J
32868 DOYE, JPK
24183 DOYLE, EMFRA
33886 DOYLE, J
40455 DOYLE, JM
29793 DOYLE, LR
49503 DOYLE, MF
46933 DOYLE, P
51945 DOYLE, PG
23624 DOYLE, RA
17556 DOYLE, T
21664 DOYON, R
6619 D, P
240 D, R
11201 DRAAYER, JP
36244 DRABANT, B
4682 DRABOLD, DA
38091 DRACHEV, VP
44244 DRAEGER, EW
27710 DRAGANESCU, G
26182 DRAGANOV, D
35253 DRAGGIOTIS, P
47727 DRAGHICI, T
7314 DRAGO, A
17952 DRAGON, N
34898 DRAGOUN, O
1737 DRAGOVAN, M
29629 DRAGOWSKY, MR
38590 DRAGT, AJ
33609 DRAGULESCU, A
28464 DRAIN, D
38973 DRAINE, ALB
1741 DRAINE, BT
30576 DRAKE, A
29914 DRAKE, AJ
39795 DRAKE, J
18732 DRAKE, JM
28483 DRAKE, N
20110 DRAKE, NA
25054 DRAKENGREN, T
29278 DRAKE, SA
25145 DRAKE, SP
51458 DRAMLITSCH, T
47367 DRANISHNIKOV, AN
30966 DRAPATZ, S
42161 DRAPER, BL
6162 DRAPER, T
37911 DRASDO, D
14975 DRAVID, VP
40323 DRAVINS, D
5140 DRAY, T
44121 DRAZER, G
33381 DRCHAL, V
7965 DRECHSEL, D
23295 DRECHSLER, SL
5428 DRECHSLER, W
48097 DREES, A
6444 DREES, M
44718 DREGIA, SA
7305 DREINER, H
45715 DREINER, HK
52387 DREISCHUH, A
30769 DREIZLER, S
25737 DRELL, PS
6296 DREMIN, IM
39770 DRENKHAHN, G
27172 DRENSKA, S
19061 DRENSKA, SB
35219 DRESCHER, HJ
24791 DRESDEN, GBAOSUO
16044 DRESS, C
33577 DRESSELHAUS, G
33578 DRESSELHAUS, MS
15567 DRESSELHAUS, P
22251 DRESSEL, LL
31287 DRESSEL, M
444 DRESSLER, A
35407 DRESSLER, B
12315 DREUX, M
23778 DREWES, S
4248 DREW, HD
15542 DREWITZ, A
29974 DREW, J
21667 DREW, JE
50616 DREYSSE, H
36246 DREZET, J
36659 DREZET, JM
24443 DRICHKO, IL
30296 DRIEBE, T
20651 DRIELGESZTELYI, LV
5412 DRIEL, PV
19778 DRIEL, WV
35915 DRIESEN, L
7517 DRIESEN, V
36864 DRIESSCHE, PVD
27599 DRIGERT, MW
28731 DRILLING, JS
41654 DRIMMEL, R
36570 DRINEN, D
12357 DRINKWATER, M
13387 DRINKWATER, MJ
22208 DRISSEN, L
36911 DRIVER, BK
2362 DRIVER, SP
48587 DRNDIC, M
28043 DROBNY, G
41054 DROEGE, TF
24080 DROESE, T
24999 DROGE, H
12473 DROGE, W
42317 DROLET, F
51642 DROLLINGER, V
907 DROM, EV
37859 DROPMANN, F
3374 DRORY, A
30478 DRORY, N
41336 DROSSART, P
3116 DROSSEL, B
43031 DROST, RJ
46957 DROUET, C
23997 DROUFFE, J
50567 DROZDOV, AD
20305 DROZDOVA, DN
45018 DROZDOVA, EA
27229 DROZDZ, S
3764 DROZ, M
5646 DROZ, S
18265 DROZVINCENT, P
14875 DRUCHECKZINIC, R
36893 DRUEL, S
38179 DRUHL, K
26312 DRUKAREV, EG
2567 DRUKIER, GA
46465 DRUKKER, N
14545 DRUMMOND, IT
31218 DRUMMOND, PD
30514 DRURY, J
30932 DRURY, L
2105 DRURY, LO
26385 DRUZHININ, BL
38028 DRUZHININ, VP
23124 DRZEWINSKI, A
2210 D, S
33418 DSOUZA, RM
16475 DUAL, J
16781 DUAN, C
22930 DUAN, J
19612 DUAN, L
42457 DUAN, N
34637 DUAN, Y
51514 DUAN, Z
30809 DUARI, D
8337 DUARI, SB
16375 DUARTE, LGS
18362 DUARTE, R
29344 DUBA, C
19090 DUBACH, JF
51643 DUBAK, A
51422 DUBAL, MR
26393 DUBASOV, OV
13690 DUBATH, P
49818 DUBAU, DPJ
28518 DUBAU, J
10733 DUBEJKO, T
4708 DUBE, M
24322 DUBERTRET, B
38069 DUBETSKY, B
10344 DUBIKOVSKY, A
10612 DUBIN, A
16805 DUBININ, M
7085 DUBININ, MN
12546 DUBIN, M
78 DUBINSKI, J
387 DUBINSKI, KKJ
12598 DUBNER, G
27493 DUBNICKA, S
27492 DUBNICKOVA, AZ
49725 DUBOIS, P
26527 DUBOISVIOLETTE, M
50390 DUBONOS, SV
43846 DUBOS, P
27469 DUBOVICHENKO, SB
14539 DUBOVIK, VM
25860 DUBOVSKY, SL
50741 DUBRAVA, VN
18567 DUBROVIN, B
51073 DUBROVSKII, YV
43266 DUB, S
40390 DUBUC, A
21727 DUBUS, G
45991 DUCATI, G
7952 DUCATI, MBG
7010 DUCA, VD
30952 DUCCI, V
30701 DUCHENE, G
16753 DUCHESNEAU, D
16882 DUCHOVNI, E
13423 DUCK, SR
48758 DUCLASOARES, E
27981 DUCLOS, P
51977 DUCOURTIOUX, C
22260 DUC, P
14111 DUC, PA
27969 DUCREE, J
27966 DUCREE, JJ
6692 DU, D
44610 DUDA, AS
31726 DUDA, LC
43168 DUDAREV, SL
7472 DUDAS, E
18307 DUDAS, EA
11131 DUDEK, J
28315 DUDEK, M
15537 DUDIY, SV
8614 DUDKO, L
35199 DUDKO, LV
20578 DUDLEY, CC
45759 DU, DS
20425 DUDZIAK, G
42473 DUDZINSKI, M
35914 DUECHTING, N
30928 DUEMMLER, R
24497 DUENWEG, B
21878 DUERBECK, HW
44867 DUERR, C
11840 DUERR, D
18217 DUETSCH, M
45325 DUEZ, MD
49144 DU, F
34144 DUFF, B
8934 DUFF, MJ
3847 DUFFY, D
43073 DUFFY, JA
45497 DUFFY, M
85 DUFFY, P
11264 DUFLO, J
45648 DUFLOT, L
52081 DUFOUR, J
36321 DUFOUR, JP
11262 DUFOUR, M
13058 DUFOUR, RJ
50974 DUFRESNE, ER
14757 DUFTY, JW
45814 DUGAD, SR
7016 DUGAN, MJ
33072 DUGDALE, SB
38464 DUGIC, M
46178 DUGNE, J
26106 DUGNE, JJ
14169 DUIJN, VHM
15919 DUIN, CNAV
46846 DU, J
52049 DUJELLA, A
2782 DUKAN, S
35119 DUKA, P
14476 DUKELSKY, J
48216 DUKE, T
18819 DUKE, W
43484 DUKHOVII, VV
27509 DULANY, PC
51853 DULAT, S
33645 DULIC, D
28932 DULLEMOND, CP
49472 DULLEMOND, RTCP
41282 DULLIGHAN, A
11867 DULLWEBER, A
22334 DULTZINHACYAN, D
32906 DULTZ, SC
34121 DUMITRIU, D
7163 DUMITRU, A
45998 DUMITRU, D
52892 DUMITRU, S
39693 DUMKE, M
5746 DUMM, DG
35877 DUMOIT, J
30624 DUMONT, A
30053 DUMONT, AM
50434 DUMONT, E
20588 DUMORA, D
15142 DUMOULIN, B
28465 DUMOULIN, L
24582 DUM, R
34711 DUMSE, RM
37035 DUNAJSKI, M
7064 DUNBAR, DC
16569 DUNCAN, A
28896 DUNCAN, DK
33796 DUNCAN, DS
12829 DUNCAN, GC
38929 DUNCAN, M
1971 DUNCAN, MJ
41699 DUNCAN, R
2174 DUNCAN, RC
30338 DUNCAN, RS
30313 DUNCAN, WD
29734 DUNCOMBE, RL
36146 DUNFIELD, NM
28275 DUNG, HT
7971 DUNG, LV
29797 DUNHAM, EW
6441 DUNIETZ, I
47180 DUNKL, CF
38619 DUNLAVEY, MR
39986 DUNLEA, S
38681 DUNLOP, AE
19981 DUNLOP, J
48128 DUNLOP, JC
19758 DUNLOP, JS
48509 DUNLOP, M
41475 DUNNE, BC
10894 DUNNE, EG
9171 DUNNE, G
10557 DUNNE, GV
29983 DUNNE, L
18320 DUNNE, RS
51807 DUNNING, C
49717 DUNN, JO
1746 DUNN, MCAM
34724 DUNSBY, P
34459 DUNSBY, PK
5541 DUNSBY, PKS
32354 DUNSIGER, S
15900 DUNSIGER, SR
5887 DUONG, HD
47441 DUONG, TT
8096 DUONG, TV
33846 DUPERTUIS, MA
13473 DUPIN, JP
29668 DUPIN, O
40463 DUPKE, RA
15171 DUPLANTIER, B
9877 DUPLIJ, S
45649 DUPPERIN, A
29050 DUPRAZ, C
51310 DUPRE, DT
21049 DUPREE, AK
21935 DUPREE, DBYNAK
46224 DUPREL, C
4989 DUPRE, T
13889 DUPUIS, J
4837 DUPUIS, N
37190 DUPUIS, P
43527 DUPUIS, V
24269 DUQUE, D
42758 DU, R
8748 DURAES, FO
31011 DURAND, D
8768 DURAND, L
29618 DURAND, N
2430 DURAND, S
14381 DURAN, J
41321 DURDA, DD
38561 DURDEVICH, M
36192 DURFEE, AH
42422 DURFEE, DS
34238 DURFEE, EH
33542 DURGANANDINI, P
18279 DURHUUS, B
42467 DURIAN, DJ
29589 DURIC, N
24368 DURIN, G
32088 DURING, A
26614 DU, RL
14105 DUROUCHOUX, P
24744 DU, RR
50214 DURRANCE, ST
52821 DURRANT, AV
19457 DURR, C
11693 DURR, D
13441 DURRELL, PR
1529 DURRER, R
34204 DURRESI, A
1855 DURRET, F
18510 DURR, S
1419 DURSI, LJ
11239 DURSO, JW
43608 DURST, AC
28035 DURT, T
10376 DURU, IH
33629 DURUOZ, C
24064 DURUOZ, CI
28309 DUR, W
24491 DURY, CM
19884 DUSCHL, WJ
38670 DUSEK, M
45029 DUSHAY, N
33216 DUSI, R
43829 DUSSEL, GG
18416 DUTRA, ADS
41643 DUTRA, CM
30588 DUTRA, M
38827 DUTRA, SM
18621 DUTSCH, M
6709 DUTTA, B
45889 DUTTA, D
16860 DUTTA, G
15249 DUTTA, M
37838 DUTTA, R
7432 DUTTAROY, B
8873 DUTTA, S
24923 DUTTA, SK
997 DUTTA, SN
48112 DUTTA, TK
11594 DUTTMAZUMDER, AK
32018 DUTTON, PL
32023 DUTTON, Z
18538 DUTT, R
27489 DUTTROY, B
37185 DUVAL, AM
9376 DUVAL, C
39678 DUVAL, D
42665 DUVAL, E
22444 DUVA, LJ
47350 DUVALL, P
22552 DUVERNOIS, MA
36057 DUVIRYAK, A
24550 DUWEL, AE
24486 DUXBURY, CFMPM
16084 DUXBURY, PM
12108 DU, YL
6597 DVALI, G
39987 DVALI, M
8637 DVOEGLAZOV, VV
39578 DVORAK, R
36612 DVORSKY, A
10848 DVZAMONJA, M
50016 DWARAKANATH, K
29395 DWARAKANATH, KS
41623 DWARKADAS, V
913 DWEK, E
16536 DWIVEDI, IH
32540 DWORECKI, K
